Most Common words,Absolute frequency,Relative frequency
god,3692,0.016442358
christ,2448,0.010902192
church,2000,0.00890702
cf,1922,0.008559646
life,1403,0.006248274
holy,1324,0.005896447
spirit,1307,0.005820737
one,1285,0.00572276
jesus,1142,0.005085908
faith,1130,0.005032466
man,1040,0.00463165
prayer,991,0.004413428
us,976,0.004346626
father,906,0.00403488
lord,774,0.003447017
human,761,0.003389121
christian,683,0.003041747
love,681,0.00303284
also,675,0.003006119
son,640,0.002850246
st,639,0.002845793
sin,598,0.002663199
good,529,0.002355907
